"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"6FPY2MNK","journalArticle","2016","Caughey, Devin; Warshaw, Christopher","The Dynamics of State Policy Liberalism, 1936–2014","American Journal of Political Science","","1540-5907","10.1111/ajps.12219","http://onlinelibrary.wiley.com/doi/abs/10.1111/ajps.12219","Applying a dynamic latent-variable model to data on 148 policies collected over eight decades (1936–2014), we produce the first yearly measure of the policy liberalism of U.S. states. Our dynamic measure of state policy liberalism marks an important advance over existing measures, almost all of which are purely cross-sectional and thus cannot be used to study policy change. We find that, in the aggregate, the policy liberalism of U.S. states steadily increased between the 1930s and 1970s and then largely plateaued. The policy liberalism of most states has remained stable in relative terms, though several states have shifted considerably over time. We also find surprisingly little evidence of multidimensionality in state policy outputs. Our new estimates of state policy liberalism have broad application to the study of political development, representation, accountability, and other important issues in political science.","2016-10-01","2018-11-26 20:43:06","2018-11-26 20:43:17","2018-11-26 20:43:06","899-913","","4","60","","","","","","","","","","en","©2015, Midwest Political Science Association","","","","Wiley Online Library","","","","/Users/GrantAllard/Documents/Clemson PhD/Literature and Raw Data/Zotero/storage/8KLRM8L9/Caughey and Warshaw - 2016 - The Dynamics of State Policy Liberalism, 1936–2014.pdf; /Users/GrantAllard/Documents/Clemson PhD/Literature and Raw Data/Zotero/storage/Q8X62K6E/ajps.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PCU3Q255","journalArticle","2014","Amat, Francesc; Falcó-Gimeno, Albert","The Legislative Dynamics of Political Decentralization in Parliamentary Democracies","Comparative Political Studies","","0010-4140","10.1177/0010414013488550","https://doi.org/10.1177/0010414013488550","We investigate how particular configurations of national parliaments affect the dynamics of political decentralization in parliamentary democracies. Recent research has emphasized the impact of structural determinants on levels of decentralization across countries. However, we argue that decentralization processes are endogenous to legislative bargaining by political parties. Our main hypothesis is that, ceteris paribus, the greater the legislative bargaining power of parties with decentralization demands, the more likely decentralization reforms are to occur. For that purpose, we calculate an index of the parliamentary salience of decentralization that reflects the distribution of parties’ preferences for decentralization weighted by their bargaining power. We test our hypotheses with dynamic models for 19 parliamentary democracies using Comparative Manifesto Project data and the Regional Authority Index. We demonstrate that the dynamics of decentralization are crucially shaped by the configuration of national legislatures, although this only seems to affect the self-rule dimension of decentralization rather than shared rule.","2014-05-01","2018-11-27 13:13:43","2018-11-27 13:13:50","2018-11-27 13:13:43","820-850","","6","47","","Comparative Political Studies","","","","","","","","en","","","","","SAGE Journals","","","","/Users/GrantAllard/Documents/Clemson PhD/Literature and Raw Data/Zotero/storage/RFV5A28Z/Amat and Falcó-Gimeno - 2014 - The Legislative Dynamics of Political Decentraliza.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8TWTWXC7","journalArticle","2018","Harris, Adam S.; Hern, Erin","Taking to the Streets: Protest as an Expression of Political Preference in Africa","Comparative Political Studies","","0010-4140","10.1177/0010414018806540","https://doi.org/10.1177/0010414018806540","Between 2011 and 2014, there were 5 times as many protests per annum in Africa as there had been in 2000. The majority of these protests were related to deteriorating economic conditions, poor service delivery, inadequate wages, and economic inequality. These protests, which we term ?valence protests,? do not fit easily into typical narratives about contentious behavior: they are neither social movements, nor revolutionary, nor a manifestation of organized labor?instead, many of these protests are a collective expression of a valence issue of which the government is well aware. We argue for a different conceptual framework for valence protests and contend that they are a way for politically engaged citizens to express their political preferences when voting is insufficient. Using Round 5 Afrobarometer data, we find empirical support for this claim. We also find that citizens more readily communicate political preferences through protest in countries governed by dominant parties.","2018-10-29","2018-11-27 13:16:37","2018-11-27 13:16:37","2018-11-27","0010414018806540","","","","","Comparative Political Studies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G5N38PPA","journalArticle","2016","Baturo, Alexander","Democracy, Development, and Career Trajectories of Former Political Leaders","Comparative Political Studies","","0010-4140","10.1177/0010414016666835","https://doi.org/10.1177/0010414016666835","One of the obstacles to democratic development is the reluctance of political leaders to leave office. This article argues that alongside democratic constraints and accountability, leaders? career concern?specifically, the possibility of post-tenure careers?is an important factor behind their rotation in office. While literature exists about leaders? exit and fate, we lack a systematic understanding of their careers and whether former rulers retire, remain in politics, or pursue civil service, business, international, or non-profit careers after leaving office. Drawing on the new data on the prior- and post-tenure occupations of leaders from 1960 to 2010, the article explains how democracy, personal background, and the economy influence what ex-leaders can do, and why. In turn, over time the post-tenure careers of prior rulers may strengthen the precedent behind the institutional routinization of the rotation in office norm?an important component of democratic consolidation.","2016-11-09","2018-11-27 13:16:37","2018-11-27 13:16:37","2018-11-27","1023-1054","","8","50","","Comparative Political Studies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QGQS9AIF","journalArticle","2018","Holzinger, Katharina; Haer, Roos; Bayer, Axel; Behr, Daniela M.; Neupert-Wentz, Clara","The Constitutionalization of Indigenous Group Rights, Traditional Political Institutions, and Customary Law","Comparative Political Studies","","0010-4140","10.1177/0010414018774347","https://doi.org/10.1177/0010414018774347","Many constitutions of the world contain special provisions for indigenous communities, granting them particular rights and regulating their traditional political institutions and customary law. Building on rational theories of constitution-making, we employ a demand and supply framework to explain the constitutionalization of such provisions. To test our hypotheses, we code the presence of indigenous provisions in the current constitutions of 193 United Nations member states. We find full democracy and previous conflict to stimulate the inclusion of indigenous group rights but not of customary law and traditional institutions. Customary law and traditional institutions are more likely constitutionalized in countries with high ethnic fractionalization. Low levels of modernity affect particularly the constitutionalization of traditional political institutions, while low levels of development correlate with provisions on customary law. Former British colonies are more likely to constitutionalize customary law.","2018-05-21","2018-11-27 13:16:37","2018-11-27 13:16:37","2018-11-27","0010414018774347","","","","","Comparative Political Studies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZJERUA9M","journalArticle","2015","Niedzwiecki, Sara","Social Policies, Attribution of Responsibility, and Political Alignments: A Subnational Analysis of Argentina and Brazil","Comparative Political Studies","","0010-4140","10.1177/0010414015612392","https://doi.org/10.1177/0010414015612392","This article assesses how the political context shapes policy implementation in decentralized countries. It finds that effective implementation of non-contributory social policies depends on political alignments across different territorial levels. Subnational units governed by the opposition hinder the implementation of national policies, but only if the policy carries clear attribution of responsibility. On one hand, conditional cash transfers have clear attribution of responsibility and thus, pose risks for opposition subnational governments, who, as a result, have incentives to obstruct such policies. On the other hand, in social services, attribution of responsibility is blurred, and therefore their implementation is not shaped by political alignments. By analyzing policy implementation, disaggregating social policies, and incorporating multilevel political alignments, this article contributes to theories of the welfare state and multilevel governance. The empirical foundation includes an analysis of the factors that shape the successful implementation of social policies in Argentina and Brazil through a combination of pooled time-series analysis and extensive field research.","2015-11-18","2018-11-27 13:16:37","2018-11-27 13:16:37","2018-11-27","457-498","","4","49","","Comparative Political Studies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9S9JIH58","journalArticle","2017","Arnesen, Sveinung; Peters, Yvette","The Legitimacy of Representation: How Descriptive, Formal, and Responsiveness Representation Affect the Acceptability of Political Decisions","Comparative Political Studies","","0010-4140","10.1177/0010414017720702","https://doi.org/10.1177/0010414017720702","We examine how descriptive representation, formal representation, and responsiveness affect the legitimacy of political decisions: Who are the representatives, how are they selected, what is the outcome of the decision-making process, and to what extent do these three aspects matter for decision acceptance among the citizens? We examine this from the citizens? perspective, and ask whether decisions are perceived as more legitimate when they are made by groups that reflect society in certain characteristics and chosen according to certain selection procedures. In a Norwegian survey experiment, we find that people are more willing to accept a decision when it is made by a group of people like them, and who are assigned as decision makers based on their expertise. Descriptive representation also serves as a cushion for unfavorable decisions. Moreover, when asked, the traditionally less advantaged groups tend to value descriptive representation more than other citizens.","2017-08-08","2018-11-27 13:16:37","2018-11-27 13:16:37","2018-11-27","868-899","","7","51","","Comparative Political Studies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VD5TFXIP","journalArticle","2016","Singh, Prerna; vom Hau, Matthias","Ethnicity in Time: Politics, History, and the Relationship between Ethnic Diversity and Public Goods Provision","Comparative Political Studies","","0010-4140","10.1177/0010414016633231","https://doi.org/10.1177/0010414016633231","This article revisits and seeks to challenge one of the most powerful hypotheses in the political economy scholarship: the supposedly negative relationship between ethnic diversity and public goods provision. We suggest that the relative lack of attention to politics and history makes much of this literature vulnerable to endogeneity problems. In response, we develop a state-centered approach that brings time and temporality to the analytical foreground. This approach addresses issues of reverse causality and spuriousness by examining how different historical trajectories of nation-state formation, and the state strategies and capabilities to provide public goods associated with each, might have shaped both contemporary diversity and public goods provision. Bringing in politics and history and putting the analytical focus on the state also allows the article to open up the debate around how distinct manifestations of politicized ethnicity might influence state provision of public goods.","2016-03-03","2018-11-27 13:16:37","2018-11-27 13:16:37","2018-11-27","1303-1340","","10","49","","Comparative Political Studies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S7XHMMUI","journalArticle","2016","Capoccia, Giovanni","When Do Institutions “Bite”? Historical Institutionalism and the Politics of Institutional Change","Comparative Political Studies","","0010-4140","10.1177/0010414015626449","https://doi.org/10.1177/0010414015626449","Historical institutionalist theories of endogenous change have enhanced our understanding of institutional development by providing a theoretical vocabulary for analyzing how institutions may be renegotiated over the long run by social and political actors. In these theories, however, the causal impact of institutions themselves on political outcomes, including their own change and reform, is less developed?a significant problem for an institutional research program. This article addresses this problem by proposing strategies that integrate historical institutionalism?s insights into endogenous institutional change with a systematic analysis of the institutional conditions under which ?bottom-up? processes of gradual change are likely to be counteracted. In particular, the institutionalization of cultural categories and the allocation of power over the timing of reform within institutional and policy configurations are important variables for understanding how preexisting institutions may enable institutional incumbents to channel, delay, or prevent institutional change altogether.","2016-02-10","2018-11-27 13:16:38","2018-11-27 13:16:38","2018-11-27","1095-1127","","8","49","","Comparative Political Studies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DDILDM7H","journalArticle","2016","Pepinsky, Thomas B.","Colonial Migration and the Origins of Governance: Theory and Evidence From Java","Comparative Political Studies","","0010-4140","10.1177/0010414015626442","https://doi.org/10.1177/0010414015626442","This article explores the origins of local governance in postcolonial contexts. Focusing on migrant communities in the Indonesian island of Java and the networks of elite political and economic relations that emerged under colonial rule, I develop a theory of social exclusion and competition that specifies the conditions under which trading minorities will forge cooperative relations with local political elites in the absence of well-functioning property rights institutions. These informal relationships under colonial rule affect contemporary economic governance. To clarify the importance of social exclusion rather than other factors that may differentiate colonial districts with large Chinese populations, I exploit variation in the settlement patterns of Chinese and Arab trading minorities in Java, which played comparable roles in the island?s colonial economy but faced different degrees of social exclusion. These findings contribute to recent work on colonialism and development, ethnicity and informal institutions, and the origins of democratic performance.","2016-02-07","2018-11-27 13:16:38","2018-11-27 13:16:38","2018-11-27","1201-1237","","9","49","","Comparative Political Studies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
